prod_id,text,score,type
0,"    \nIntroducing the Mud-Mask: Hair & Scalp Detoxifying Pre-Wash Clay Treatment, a revolutionary vegan, cruelty-free, and eco-friendly product that will transform your hair and scalp experience. This miraculous treatment is packed with nature's goodness, infusing broccoli extract, and the power of clay to deep cleanse and purify your tresses. \n\nSay goodbye to product buildup, oil, and dirt that can weigh your hair down and cause irritation. The Mud-Mask works its magic by detoxifying the scalp and strands, leaving them feeling soft, lightweight, and free of impurities. Whether you have curly, wavy, or straight hair, this treatment will reset your curl pattern, enhance your natural texture, and leave your locks looking healthy and vibrant.\n\nThe best part? This product is gentle and non-irritating, making it suitable for all hair types, including those with sensitive scalps. The natural scent of sweet, earthy, and green matcha tea will delight your senses, and you'll love the way your hair smells after using the Mud-Mask. Plus, with its eco-friendly packaging, you'll feel good about using a product",0.0005178191,toxicity
0,"    \nIntroducing the Mud-Mask: Hair & Scalp Detoxifying Pre-Wash Clay Treatment, a revolutionary vegan, cruelty-free, and eco-friendly product that will transform your hair and scalp experience. This innovative hair styling product is infused with natural ingredients and advanced technology to detoxify, soften, and reset your curls.\n\nThe Mud-Mask is a pre-wash clay treatment that deeply cleanses the scalp, removing impurities and product buildup, while also nourishing and moisturizing strands. Its unique blend of ingredients, including broccoli extract, matcha tea, and natural clays, work in harmony to detoxify the scalp and leave your hair feeling soft, lightweight, and incredibly healthy.\n\nWhat sets the Mud-Mask apart is its focus on natural ingredients and sustainability. The product is free from harsh chemicals, artificial fragrances, and synthetic preservatives, making it a great choice for those with sensitive scalps or environmental concerns. Plus, the Mud-Mask comes in recyclable packaging, further reducing its impact on the environment.\n\nBut don't just take our word for it - the Mud-Mask has already received rave",0.0004314575,toxicity
0,"     Introducing the Mud-Mask: Hair & Scalp Detoxifying Pre-Wash Clay Treatment, a game-changing product from our vegan and cruelty-free line of hair styling products. This miraculous treatment is specifically designed to detoxify the scalp and strands, leaving them soft, reset, and ready for styling.\n\nThe Mud-Mask features a unique blend of natural ingredients, including broccoli extract, which contains master antioxidants that fight free radicals on scalp skin. This powerful combination works to cleanse the scalp and remove impurities, resulting in a healthy and balanced environment for hair growth.\n\nOne of the standout features of the Mud-Mask is its ability to soften hair, making it easier to style and maintain. Whether you have curly, wavy, or straight hair, this treatment will leave your strands feeling silky and manageable. Plus, with its recyclable packaging and natural scent of sweet, earthy, green matcha tea, you can feel good about using this product.\n\nBut that's not all - the Mud-Mask also resets curls, giving them a defined and bouncy texture that will last all day long. Whether you have tight spirals or loose waves, this treatment will help you",0.00040763998,male
0,"     Introducing the Mud-Mask: Hair & Scalp Detoxifying Pre-Wash Clay Treatment, a revolutionary new product from our cosmetic company. This groundbreaking formula is designed to detoxify the scalp and strands, leaving your hair feeling soft and looking vibrant. The Mud-Mask is a game-changer for anyone looking to reset their curls, reduce frizz, and say goodbye to product buildup.\n\nAs a vegan and cruelty-free product, the Mud-Mask is made with the highest quality, natural ingredients that are gentle on the hair and scalp. The formula is free from harsh chemicals and added fragrances, instead emitting a natural scent of sweet, earthy, green matcha tea. This ensures that our customers can use the product with confidence, knowing that they are nurturing their hair and scalp in the most gentle and natural way possible.\n\nBut that's not all - the Mud-Mask also contains broccoli extract, a powerful master antioxidant that fights free radicals on scalp skin. This helps to promote a healthy scalp environment, reducing irritation and inflammation, and resulting in hair that looks and feels amazing.\n\nThe Mud-Mask is easy to use: simply apply to",0.0003943487,toxicity
0,"     Introducing Mud-Mask: The Ultimate Hair & Scalp Detoxifying Pre-Wash Clay Treatment! ????\n\nAs an assistant of a cosmetic company, we are thrilled to introduce this revolutionary product that will transform your hair and scalp experience. Mud-Mask is a game-changer in the world of hair styling, providing a detoxifying, nourishing, and resetting solution for your tresses. ??\n\nProduct Type: Hair Styling Products\n\nMud-Mask is a pre-wash clay treatment that works wonders on both scalp and strands. It detoxifies the scalp, removing impurities and product buildup, while also softening and nourishing the hair. Whether you have dry, damaged, or frizzy hair, Mud-Mask will reset your curls and leave your hair looking healthy, shiny, and radiant. ??\n\nKey Features:\n\n1. Detoxifies Scalp & Strands: Mud-Mask draws out impurities and toxins from the scalp, unclogging pores and promoting a healthy scalp environment. It also cleans and purifies the hair, removing product buildup and resid",0.0005652083,toxicity
1,"    \nIntroducing the In-shower Style Fixer, a revolutionary hair styling product that provides long-lasting hold, humidity protection, and intense moisture for your tresses. This all-in-one solution is designed to transform your shower routine and help you achieve the perfect look every time.\n\nAs you shower, the Strong Hold Styler in this product works its magic, blending styling agents to create a strong cast that protects your hair from humidity and frizz. The result is defined, sleek hair that stays in place all day long.\n\nBut that's not all - the In-shower Style Fixer also contains a powerful blend of natural ingredients that nourish and moisturize your hair. Avocado oil, Apricot kernel",0.0005731994,toxicity
1,"    \nIntroducing the In-shower Style Fixer, a revolutionary hair styling product that will change the way you think about styling your hair. This powerful styler is designed to provide long-lasting hold, humidity protection, and frizz control, while also nourishing and moisturizing your hair. \n\nThe secret to its incredible performance lies in its unique blend of styling agents, including a blend of styling agents that create a strong cast, offering unparalleled hold, and a combination of Avocado oil, Apricot kernel oil, Sunflower oil, Andiroba, and Resurrection flower. These natural ingredients work together to create a lightweight, non-greasy formula that will leave your hair looking and feeling amazing all day long. \n\nThe",0.000562951,toxicity
1,"    \nIntroducing the In-shower Style Fixer, a revolutionary hair styling product that combines the power of nature with advanced technology to deliver unparalleled hold, frizz control, and moisture to your tresses. This multi-tasking product is designed to work in harmony with your shower routine, providing a quick and easy solution to style your hair without sacrificing the health of your locks.\n\nAs you wash your hair, the Strong Hold Styler blends seamlessly into your hair, creating a strong cast that protects against humidity and frizz while adding incredible definition to your style. The Blend of styling agents is infused with Avocado Oil, Apricot Kernel Oil, Sunflower Oil, Andiroba, and Resurrection F",0.00049393,toxicity
1,"    \nIntroducing the In-shower style fixer, a revolutionary hair styling product that combines the power of nature's most luxurious ingredients to provide your hair with unparalleled hold, protection, and nourishment. \n\nThis innovative formula is designed to meet the needs of all hair types, from dry and frizzy to smooth and sleek. With its blend of styling agents, the In-shower style fixer creates a strong cast that locks in humidity protection, extreme definition, and long-lasting hold, leaving your hair looking great all day long.\n\nThe secret to its remarkable performance lies in its unique combination of ingredients. The powerful blend of avocado oil, apricot kernel oil, sunflower oil, and andiroba oil provides inten",0.00042834418,toxicity
1,"     Product Name: In-shower Style Fixer\n\nIntroducing the In-shower Style Fixer, a revolutionary hair styling product that combines the power of nature with cutting-edge technology to provide you with the ultimate styling experience. This product is designed to help you achieve the perfect look every time, without the need for constant touch-ups or re-styling.\n\nThe In-shower Style Fixer is a strong hold styler that is formulated with a blend of styling agents that create a strong cast to offer humidity protection, frizz control, extreme definition, and long-lasting hold. This unique formula is infused with avocado oil, apricot kernel oil, sunflower oil, and andiroba oil, which are all rich in nutrients and moisturizing properties",0.00039798443,toxicity
